,Multinomial Naive Bayes,Decision Tree,SGD,Logistic Regression,Random Forrest,SVC
Mean_accuracy,0.8013858869034068,0.7901748000204487,0.8393009856536198,0.8351674528581408,0.8362083052740189,0.8436127271566226
Variance,0.005865529924963225,0.006590976155810003,0.006866454905202481,0.005483129132498907,0.004847802028315723,0.006436782738997371
